time,rpm,voltage
5741104,191,10.25
5741872,191,10.25
5742632,191,10.25
5743400,191,10.25
5744168,191,10.28
5744928,191,10.25
5745696,191,10.77
5746464,191,10.25
5747224,191,10.25
5747992,191,10.25
5748760,191,10.25
5749520,191,10.25
5750288,191,10.28
5751048,191,10.38
5751816,191,10.28
5752584,191,10.25
5753344,191,10.25
5754112,191,10.28
5754884,191,10.25
5755640,191,10.82
5756408,203,10.25
5757168,203,10.25
5757936,203,10.25
5758704,203,10.25
5759504,203,10.28
5760232,203,10.25
5761000,203,10.72
5761760,203,10.25
5762520,203,10.25
5763288,203,10.25
5764056,203,10.25
5764824,203,10.25
5765584,203,10.3
5766352,203,10.33
5767120,203,10.28
5767880,203,10.25
5768648,203,10.25
5769408,203,10.28
5770176,203,10.25
5770944,203,10.84
5771704,203,10.25
5772472,203,10.28
5773240,203,10.25
5774000,203,10.25
5774768,203,10.28
5775528,203,10.25
5776296,203,10.67
5777064,203,10.25
5777824,203,10.25
5778592,217,10.25
5779360,217,10.25
5780160,217,10.25
5780888,217,10.4
5781656,217,10.3
5782416,217,10.23
5783184,217,10.25
5783944,217,10.25
5784720,217,10.28
5785480,217,10.25
5786240,217,10.82
5787008,217,10.25
5787776,217,10.25
5788536,217,10.25
5789304,217,10.25
5790064,217,10.23
5790840,217,10.28
5791600,217,10.6
5792360,217,10.25
5793128,217,10.25
5793888,217,10.25
5794656,217,10.28
5795424,217,10.25
5796184,217,10.5
5796952,217,10.28
5797720,217,10.25
5798480,217,10.25
5799248,217,10.25
5800008,217,10.28
5800816,217,10.25
5801544,217,10.82
5802304,217,10.25
5803072,217,10.28
5803840,217,10.25
5804600,217,10.25
5805360,217,10.25
5806128,175,10.28
5806896,175,10.55
5807664,175,10.28
5808424,175,10.25
5809192,175,10.25
5809960,175,10.28
5810720,175,10.25
5811488,175,10.62
5812248,175,10.28
5813016,175,10.25
5813784,175,10.25
5814544,175,10.25
5815312,175,10.25
5816080,175,10.25
5816840,175,10.79
5817608,175,10.25
5818372,175,10.25
5819136,175,10.25
5819904,175,10.25
5820664,175,10.25
5821432,175,10.28
5822200,175,10.5
5822960,175,10.25
5823728,175,10.25
5824536,175,10.25
5825256,175,10.28
5826024,175,10.25
5826784,175,10.69
5827552,175,10.28
5828320,175,10.28
5829080,175,10.25
5829848,175,10.25
5830608,175,10.25
5831376,175,10.25
5832144,175,10.74
5832904,180,10.25
5833672,180,10.25
5834440,180,10.25
5835200,180,10.25
5835968,180,10.25
5836728,180,10.3
5837496,180,10.42
5838264,180,10.25
5839024,180,10.25
5839792,180,10.25
5840560,180,10.28
5841320,180,10.25
5842088,180,10.72
5842848,180,10.25
5843616,180,10.25
5844384,180,10.25
5845144,180,10.25
5845912,180,10.25
5846680,180,10.25
5847440,180,10.72
5848256,180,10.25
5848968,180,10.25
5849736,180,10.25
5850504,180,10.25
5851272,180,10.25
5852032,180,10.4
5852792,180,10.35
5853560,180,10.28
5854336,180,10.25
5855088,180,10.25
5855856,180,10.25
5856624,180,10.25
5857384,180,10.77
5858152,180,10.25
5858920,180,10.28
5859680,180,10.25
5860448,180,10.25
5861208,180,10.25
5861976,180,10.25
5862744,180,10.67
5863504,180,10.25
5864272,180,10.25
5865040,180,10.25
5865800,180,10.25
5866568,180,10.25
5867328,180,10.52
5868096,180,10.33
5868864,180,10.25
5869624,180,10.25
5870392,180,10.25
5871160,180,10.28
5871960,180,10.25
5872688,180,10.77
5873448,180,10.25
5874216,180,10.25
5874984,180,10.25
5875744,180,10.25
5876512,180,10.25
5877280,180,10.25
5878040,180,10.64
5878808,180,10.28
5879568,180,10.25
5880336,180,10.25
5881104,180,10.28
5881864,180,10.25
5882632,180,10.64
5883400,180,10.3
5884160,180,10.28
5884932,180,10.25
5885688,180,10.25
5886456,180,10.25
5887224,180,10.25
5887984,180,10.77
5888752,180,10.25
5889520,180,10.25
5890280,180,10.25
5891048,180,10.25
5891808,180,10.25
5892576,180,10.25
5893344,180,10.57
5894104,180,10.25
5894872,180,10.25
5895640,180,10.25
5896440,180,10.25
5897168,180,10.25
5897928,180,10.72
5898696,180,10.3
5899464,180,10.28
5900224,180,10.25
5900984,180,10.25
5901760,180,10.25
5902520,180,10.28
5903288,180,10.77
5904048,180,10.25
5904816,180,10.25
5905584,180,10.25
5906344,180,10.25
5907112,180,10.25
5907880,180,10.25
5908640,180,10.52
5909408,180,10.28
5910168,180,10.25
5910936,180,10.25
5911704,180,10.28
5912464,180,10.28
5913232,180,10.79
5914000,180,10.28
5914768,180,10.25
5915528,180,10.25
5916288,180,10.25
5917056,180,10.25
5917824,180,10.25
5918584,180,10.74
5919352,180,10.25
5920160,180,10.25
5920888,180,10.25
5921648,180,10.25
5922416,180,10.25
5923176,180,10.28
5923944,180,10.45
5924704,180,10.28
5925464,180,10.25
5926240,180,10.25
5927000,180,10.25
5927768,180,10.25
5928528,180,10.82
5929296,180,10.28
5930064,180,10.25
5930824,180,10.25
5931592,180,10.25
5932360,180,10.23
5933120,180,10.23
5933888,180,10.72
5934648,180,10.28
5935416,180,10.25
5936184,180,10.25
5936944,180,10.25
5937712,180,10.25
5938480,180,10.28
5939240,180,10.4
5940008,180,10.28
5940768,180,10.25
5941536,170,10.25
5942304,170,10.25
5943064,170,10.25
5943832,170,10.82
5944600,170,10.28
5945400,170,10.25
5946128,170,10.25
5946896,170,10.25
5947656,170,10.25
5948424,170,10.25
5949184,170,10.69
5949952,170,10.25
5950712,170,10.25
5951480,170,10.25
5952248,170,10.25
5953016,170,10.25
5953776,170,10.28
5954544,170,10.38
5955304,170,10.28
5956072,170,10.25
5956840,170,10.25
5957600,170,10.28
5958368,170,10.28
